bp_mean,bp_std,bp_98
65.53333333333333,24.560749684322108,96.08000000000004
67.3,21.08046266191206,106.0
72.66666666666667,16.929647822429708,100.0
69.68,18.414802916212626,96.08000000000004
67.51333333333334,23.467737861965773,110.0
69.32666666666667,17.31953804840911,98.0
70.75333333333333,18.52259156301544,100.08000000000004
67.95333333333333,20.894858770580516,98.16000000000008
66.57333333333334,22.12058067695011,98.0
71.31333333333333,14.336388519923123,94.04000000000002
70.03333333333333,14.530420146013906,98.04000000000002
66.75333333333333,23.01937808321084,104.12000000000006
71.54666666666667,17.26679191130412,106.08000000000004
68.31333333333333,21.087270458537276,106.08000000000004
69.99333333333334,20.782509639962228,108.04000000000002
68.76666666666667,20.62266189038627,98.04000000000002
72.54,17.292831272605962,102.16000000000008
68.09333333333333,18.167507933643943,96.04000000000002
67.98,23.177306072503843,98.04000000000002
69.16666666666667,19.900226522830216,104.0
69.0,20.2696586158397,98.2000000000001
69.92,18.760418134748598,96.0
68.64,19.438175957732206,98.04000000000002
67.99333333333334,21.883614251465293,90.08000000000004
68.7,19.34489163099047,100.04000000000002
68.50666666666666,20.902697769647272,92.04000000000002
68.17333333333333,21.372298029049325,102.04000000000002
70.22666666666667,21.87737229066871,98.2000000000001
70.18666666666667,17.21961838342225,94.08000000000004
68.89333333333333,16.445617790737316,92.0
69.94666666666667,20.36735994748522,102.04000000000002
68.82,18.507052891030742,100.16000000000008
69.74,17.281106570335766,100.08000000000004
70.55333333333333,19.051514997859,98.08000000000004
72.32,13.949727571850966,102.04000000000002
69.39333333333333,19.85886330839623,108.04000000000002
69.58,19.831257951685988,94.04000000000002
69.54,17.4842709754689,94.0
68.08666666666667,21.529420066774513,102.08000000000004
70.20666666666666,21.80859281012743,106.0
69.18666666666667,19.65179660030316,106.0
70.09333333333333,18.728848173739593,98.08000000000004
68.04,21.23340409977707,102.0
68.82,18.200254441764447,100.08000000000004
68.32666666666667,19.405768417527824,92.08000000000004
71.13333333333334,19.355961455011084,104.04000000000002
72.73333333333333,16.64338418520901,98.24000000000012
66.92,23.363632612653806,100.08000000000004
66.55333333333333,21.300829194770504,94.0
68.98666666666666,17.980969308429774,96.24000000000012
68.55333333333333,21.2016640687498,98.04000000000002
68.46,20.757025171245797,106.08000000000004
69.35333333333334,19.08692115780113,106.0
66.54666666666667,22.485367849733024,94.0
70.34666666666666,17.30771122964988,94.16000000000008
68.71333333333334,20.76921336289958,100.2000000000001
69.87333333333333,20.35071578863062,104.12000000000006
68.36666666666666,18.51624234084918,90.04000000000002
68.63333333333334,19.393978400789532,98.16000000000008
67.46666666666667,19.39406491468431,88.32000000000016
68.56666666666666,19.35864847280182,96.04000000000002
70.8,19.71099921193459,106.08000000000004
70.33333333333333,16.07142892652959,96.16000000000008
67.62,17.536412740697013,94.12000000000006
67.70666666666666,18.292385428184147,90.0
68.96,20.260345770451575,102.04000000000002
67.56666666666666,21.370938262910602,104.0
70.42666666666666,19.437853703522737,98.0
65.77333333333333,22.393115752606196,94.0
73.23333333333333,14.52487644677859,96.08000000000004
70.23333333333333,20.164896292954072,98.0
67.81333333333333,20.90932378220498,102.0
67.97333333333333,18.5895065538327,94.0
68.21333333333334,18.608862241281408,98.04000000000002
68.93333333333334,20.924173318981424,104.0
69.34666666666666,21.570856136275665,100.0
68.84,19.009033528948756,94.0
67.91333333333333,22.475321788251634,106.0
69.01333333333334,17.542273645489736,94.04000000000002
66.70666666666666,21.4302510474156,100.08000000000004
69.67333333333333,19.041282127418008,104.04000000000002
67.94666666666667,20.001606199485185,95.06000000000003
68.94,19.29260038279447,98.12000000000006
68.44666666666667,18.194894433471994,98.04000000000002
70.98,16.858857429419807,94.04000000000002
69.11333333333333,19.77576873557066,94.0
70.92666666666666,15.709227257541434,92.04000000000002
69.68,17.209845785082116,100.08000000000004
66.21333333333334,21.884561892279276,94.04000000000002
69.7,15.466677755916722,96.04000000000002
69.05333333333333,17.437053298665237,100.08000000000004
69.65333333333334,16.490382255579252,95.10000000000005
71.10666666666667,17.346506782033952,104.08000000000004
71.1,18.608199823495582,98.16000000000008
70.14666666666666,20.407718853765054,96.0
70.57333333333334,18.030305087989927,108.04000000000002
68.15333333333334,18.59845438720221,94.04000000000002
69.56666666666666,22.082644242340653,106.08000000000004
70.91333333333333,20.722175220311634,106.04000000000002
70.70666666666666,21.10362628804805,108.04000000000002
68.68666666666667,20.947725498951392,100.08000000000004
70.04,18.071773385271037,96.0
68.12666666666667,18.531415976013886,92.08000000000004
70.16,18.306884317731917,96.08000000000004
67.16666666666667,22.86946226413204,95.02000000000001
66.11333333333333,25.316662064262395,100.0
72.94,14.584274881717754,94.08000000000004
70.16666666666667,18.915004756058092,98.24000000000012
72.58666666666667,14.522459655716093,100.12000000000006
67.13333333333334,20.654611480042387,96.0
69.99333333333334,17.213424083548553,94.04000000000002
69.56666666666666,22.48024238168152,108.04000000000002
68.86666666666666,19.084294349745825,104.12000000000006
69.6,18.619827780545695,92.04000000000002
70.25333333333333,17.6962388096722,100.08000000000004
69.16666666666667,15.459154524519617,90.0
66.60666666666667,23.4949363862553,98.16000000000008
68.37333333333333,19.65526609991869,90.36000000000018
70.68,18.559290081308273,108.04000000000002
68.72,19.100975062078575,100.16000000000008
66.42,22.27144016402769,100.08000000000004
68.07333333333334,17.83710658612134,94.0
68.84666666666666,18.846514165671806,92.0
69.82666666666667,17.240403095097047,98.0
68.79333333333334,19.654839275229982,106.0
72.32,15.09002959866516,96.08000000000004
68.42666666666666,16.778600411456786,95.06000000000003
68.64666666666666,20.43721328363764,92.04000000000002
67.69333333333333,19.9707661065226,92.0
69.8,20.64724496954048,98.04000000000002
66.61333333333333,23.1979479151074,94.04000000000002
69.62666666666667,19.543634424856563,95.02000000000001
68.04,18.330991105211112,100.0
68.08666666666667,20.8802712403204,98.04000000000002
68.92,18.338180363940218,98.04000000000002
68.55333333333333,20.37189031456861,98.16000000000008
66.24666666666667,23.63989821196436,100.12000000000006
68.08,18.690168969471156,96.0
69.0,17.01361476137044,92.04000000000002
68.38666666666667,19.002220522546097,92.08000000000004
68.90666666666667,17.108554580122455,96.2000000000001
68.39333333333333,21.439753788362236,96.04000000000002
67.91333333333333,22.071554369918093,94.04000000000002
69.90666666666667,18.066746741115466,100.08000000000004
71.54,17.99501422374408,96.04000000000002
68.54666666666667,20.140308731352246,94.02000000000001
